model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,25.0,48938,18686,0.38183,0.453885,0.210315,1.815513
xgboost,XGBoost,xgboost_05_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,test,30.0,58725,21429,0.364904,0.520513,0.210315,1.735034
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,1.0,1870,1207,0.645455,0.026168,0.246763,2.615683
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,2.0,3739,2241,0.599358,0.048585,0.246763,2.428878
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,5.0,9346,5107,0.546437,0.110721,0.246763,2.214417
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,10.0,18692,9397,0.502728,0.203729,0.246763,2.03729
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,15.0,28038,13162,0.469434,0.285355,0.246763,1.902367
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,20.0,37384,16652,0.445431,0.361019,0.246763,1.805095
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,25.0,46730,19875,0.425316,0.430894,0.246763,1.723577
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,validation,30.0,56076,22865,0.40775,0.495718,0.246763,1.652394
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,1.0,1958,1116,0.569969,0.027108,0.210315,2.710071
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,2.0,3915,2122,0.542018,0.051544,0.210315,2.577169
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,5.0,9788,4767,0.487025,0.115791,0.210315,2.31569
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,10.0,19575,8722,0.445568,0.211858,0.210315,2.118574
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,15.0,29363,12274,0.418009,0.298137,0.210315,1.987536
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,20.0,39150,15456,0.394789,0.375428,0.210315,1.877131
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,25.0,48938,18478,0.37758,0.448833,0.210315,1.795304
catboost,CatBoost,catboost_02_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,CatBoost | missingness challenger no grade/subgrade,test,30.0,58725,21132,0.359847,0.513299,0.210315,1.710987
