threshold,rows,reject_count,approved_count,predicted_reject_share,approved_share,tp_caught_defaults,fp_rejected_good,tn_approved_good,fn_approved_defaults,precision_bad_rate_among_rejected,recall_default_capture,approved_bad_rate,rejected_bad_rate,total_portfolio_value,value_per_applicant,calibration_method,default_loss_saved,good_borrower_opportunity_cost,max_reject_share_constraint,economic_break_even_probability,policy_type,model_family,model,dataset,model_dataset_label
0.277233,186920,154769,32151,0.827996,0.172004,43744,111025,29770,2381,0.282641,0.948379,0.074057,0.282641,270902500.0,1449.3,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.275874,186920,155143,31777,0.829997,0.170003,43790,111353,29442,2335,0.282256,0.949377,0.073481,0.282256,270870500.0,1449.13,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.321843,186920,142059,44861,0.759999,0.240001,42083,99976,40819,4042,0.296236,0.912369,0.090101,0.296236,270866000.0,1449.1,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.323564,186920,141498,45422,0.756998,0.243002,42009,99489,41306,4116,0.296888,0.910764,0.090617,0.296888,270856500.0,1449.05,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.324741,186920,141124,45796,0.754997,0.245003,41960,99164,41631,4165,0.297327,0.909702,0.090947,0.297327,270854000.0,1449.04,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.324119,186920,141311,45609,0.755997,0.244003,41982,99329,41466,4143,0.297089,0.910179,0.090837,0.297089,270826500.0,1448.89,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.275181,186920,155330,31590,0.830997,0.169003,43810,111520,29275,2315,0.282045,0.94981,0.073283,0.282045,270820000.0,1448.86,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.273742,186920,155704,31216,0.832998,0.167002,43858,111846,28949,2267,0.281675,0.950851,0.072623,0.281675,270811000.0,1448.81,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.273021,186920,155891,31029,0.833999,0.166001,43882,112009,28786,2243,0.281492,0.951371,0.072287,0.281492,270806500.0,1448.78,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.330694,186920,139255,47665,0.744998,0.255002,41709,97546,43249,4416,0.299515,0.90426,0.092647,0.299515,270771000.0,1448.59,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.274467,186920,155517,31403,0.831998,0.168002,43830,111687,29108,2295,0.281834,0.950244,0.073082,0.281834,270769500.0,1448.58,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.331348,186920,139068,47852,0.743997,0.256003,41684,97384,43411,4441,0.299738,0.903718,0.092807,0.299738,270764000.0,1448.56,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.331945,186920,138881,48039,0.742997,0.257003,41656,97225,43570,4469,0.29994,0.903111,0.093029,0.29994,270722500.0,1448.33,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.272261,186920,156078,30842,0.834999,0.165001,43899,112179,28616,2226,0.281263,0.95174,0.072174,0.281263,270721500.0,1448.33,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.271557,186920,156266,30654,0.836005,0.163995,43920,112346,28449,2205,0.281059,0.952195,0.071932,0.281059,270681000.0,1448.11,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.333809,186920,138321,48599,0.740001,0.259999,41574,96747,44048,4551,0.300562,0.901333,0.093644,0.300562,270619500.0,1447.78,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
